Keyword,Patents
one," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US9619428B2,  US8719598B2,  US9192052B2,  US8867216B2,  US9065722B2,  US9825843B2,  US7734873B2,  US8288756B2,  US10289567B2,  US10158530B2,  US10013240B2,  US9848192B2,  US10152772B2,  US10354365B2,  US10956044B2,  US11474703B2,  US20230142598A1"
page, US9535849B2
clock," US8730758B2,  US9508408B2"
trench," US8716124B2,  US9006834B2"
message, US10158530B2
local, US8161209B2
links, US9825843B2
gpus," US8305380B2,  US9679345B2"
boot," US8489898B2,  US8904190B2"
residual," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2"
calibration, US10060955B2
subsystem, US8487943B2
key," US8489898B2,  US8554686B2"
present," US8053849B2,  US8753943B2,  US8445975B2,  US10140123B2"
root," US8373709B2,  US20180314670A1"
samples, US9934551B2
station," US9971708B2,  US10503669B2"
corresponding, US8030148B2
vm," US9792448B2,  US10152602B2"
translation, US9535849B2
parameters," US10956044B2,  US11474703B2,  US20230142598A1"
dielectric," US8053849B2,  US8753943B2,  US8445975B2"
virtual, US9378560B2
routing," US9065722B2,  US9825843B2"
system," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US9065722B2,  US9825843B2,  US8554686B2,  US8373709B2,  US20180314670A1,  US10467178B2,  US10060955B2,  US8161209B2,  US8615637B2,  US9946646B2,  US10289567B2,  US7716501B2,  US9934551B2,  US9792448B2,  US20230142598A1"
result, US10140123B2
tessellated, US8836700B2
semiconductor," US8114746B2,  US7893503B2,  US8039335B2,  US7741167B2,  US7586153B2,  US9437561B2,  US11469212B2,  US20230031099A1,  US8124473B2,  US8288756B2,  US8815658B2,  US8034669B2,  US8030148B2"
seed, US7517782B2
metallization," US8293641B2,  US7928004B2"
ace, US10223280B2
lanes, US10467178B2
registers, US10152602B2
processing," US10659796B2,  US11863769B2,  US9619428B2,  US10140123B2,  US20210312668A1,  US8730758B2,  US9508408B2,  US8854381B2,  US10060955B2,  US8615637B2,  US9679345B2,  US10013240B2"
species, US7863171B2
unified," US10025721B2,  US10223280B2"
profiling," US10956044B2,  US11474703B2,  US20230142598A1"
packaged," US9466900B1,  US10389053B2"
fin, US8815658B2
quantization," US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1"
transformation, US9848192B2
nodes, US10158530B2
threads, US10013240B2
includes," US20180314670A1,  US10283437B2"
rendering," US9679345B2,  US9934551B2"
code," US8489898B2,  US8904190B2,  US10060955B2,  US10013240B2"
pilots, US8306148B2
silicide," US7719035B2,  US8124473B2"
pad," US9437561B2,  US11469212B2,  US20230031099A1"
dgpu," US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
bits, US8726139B2
active," US7893503B2,  US8039335B2,  US7741167B2,  US8034669B2,  US8030148B2"
byte, US8726139B2
coupled, US8373709B2
pattern," US10283437B2,  US10152772B2,  US10354365B2"
chemical, US7517782B2
installation, US8554686B2
ranges, US10019365B2
ok," US7770037B2,  US8719598B2"
process," US7893503B2,  US8039335B2,  US7741167B2,  US7517782B2,  US8293641B2,  US7928004B2,  US8377761B2,  US7943442B2,  US7586153B2,  US7863171B2,  US7772077B2,  US8030148B2,  US8716124B2,  US9006834B2"
chip," US9437561B2,  US11469212B2,  US20230031099A1"
number," US9946646B2,  US10289567B2"
structure, US10152602B2
protection, US7791102B2
bridge," US8373709B2,  US20180314670A1,  US10467178B2"
texture," US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1"
example," US9065722B2,  US9679345B2"
domains," US7770037B2,  US8719598B2"
controller," US10956044B2,  US11474703B2,  US20230142598A1"
compressed," US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1"
papr, US8306148B2
partial, US10284861B2
grid, US10152772B2
valid," US9946646B2,  US10289567B2"
increase, US7716501B2
pixels, US10284861B2
connector," US9192052B2,  US8867216B2"
carrier," US9466900B1,  US10389053B2"
processors, US9619428B2
guest, US9535849B2
gate," US8053849B2,  US8753943B2,  US8445975B2,  US8114746B2,  US8039335B2,  US7741167B2,  US7586153B2,  US7902599B2,  US7723192B2,  US7791102B2,  US8124473B2,  US8264020B2,  US8183096B2,  US8716124B2,  US9006834B2"
mobility," US8288756B2,  US8815658B2"
server, US10158530B2
redundant, US10013240B2
criteria," US9025899B2,  US10659784B2,  US11503295B2,  US20230070744A1"
mask," US8114746B2,  US10283437B2"
estimation, US8625715B2
phase," US8730758B2,  US9508408B2"
shader," US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1,  US8854381B2,  US8836700B2"
rail," US9466900B1,  US10389053B2,  US10283437B2"
interrupt," US10025721B2,  US10223280B2"
delay, US9679345B2
network," US9065722B2,  US9825843B2"
alloy," US7893503B2,  US8039335B2,  US7741167B2,  US8034669B2"
bit, US11095910B2
printed," US9192052B2,  US8867216B2"
