,0,1,2,3,4,5,6,7,8,9
 US7772077B2,layer,region,transistor,process,element,first,regions,second,annealing,drain
 US7902599B2,gate,layer,sc,metal,lc,channel,silicon,integrated,circuit,device
 US8854381B2,tasks,task,plurality,processing,shader,gpu,first,core,second,data
 US7723192B2,gate,sc,layer,device,lc,metal,stack,channel,silicon,etch
 US9437561B2,semiconductor,first,chip,conductor,fig,tsvs,layer,conductive,pad,structures
 US11469212B2,semiconductor,first,chip,conductor,fig,layer,pad,tsvs,conductive,structures
 US20230031099A1,semiconductor,first,chip,conductor,layer,fig,tsvs,pad,conductive,structures
 US8554686B2,system,device,key,software,operating,pic,internet,memory,installation,security
 US8487943B2,graphics,subsystem,driver,components,component,device,power,software,umd,said
 US8373709B2,bus,bridge,peripheral,system,data,root,gpu,embodiments,coupled,component
 US20180314670A1,bus,bridge,system,component,data,root,first,gpu,includes,embodiments
 US10467178B2,bus,peripheral,component,bridge,system,first,data,second,lanes,via
 US8836700B2,shader,set,vertex,data,vertices,invention,geometry,connectivity,tessellation,tessellated
 US10060955B2,voltage,power,processing,supply,device,code,logic,calibration,system,reference
 US7791102B2,device,region,esd,protection,gate,diode,first,circuit,silicon,voltage
 US8124473B2,layer,material,silicon,metal,semiconductor,source,drain,silicide,insulating,gate
 US9535849B2,memory,translation,table,page,device,address,tables,guest,request,iommu
 US8161209B2,memory,system,host,bus,gpu,address,port,data,write,local
 US7734873B2,cache,first,microcode,memory,portion,data,access,processor,space,one
 US10284861B2,pixels,image,memory,pixel,destination,values,value,block,scaling,partial
 US8288756B2,layer,first,second,formed,material,structures,semiconductor,mobility,transistor,one
 US8815658B2,layer,first,second,structures,formed,material,forming,semiconductor,mobility,fin
 US9971708B2,device,application,dockable,migration,docking,dgpu,state,driver,station,umd
 US10503669B2,device,application,dockable,migration,docking,state,dgpu,station,processor,umd
 US11194740B2,application,device,dockable,migration,processor,state,dgpu,docking,umd,driver
 US11726926B2,application,device,dockable,migration,processor,state,dgpu,docking,umd,driver
 US20230393995A1,application,device,migration,dockable,processor,dgpu,state,docking,umd,driver
 US8615637B2,memory,processing,gpu,unit,cache,address,system,request,coherent,probe
 US8264020B2,channel,transistor,region,contact,gate,body,transistors,double,electrode,formed
 US8183096B2,transistor,region,channel,contact,body,gate,transistors,double,electrode,formed
 US9466900B1,frame,circuit,rail,housing,carrier,integrated,fig,socket,first,packaged
 US10389053B2,frame,circuit,rail,socket,housing,integrated,carrier,fig,packaged,first
 US9946646B2,cache,number,victims,threshold,system,valid,count,memory,victim,caches
 US10289567B2,cache,number,victims,threshold,system,one,count,valid,memory,caches
 US8034669B2,transistor,semiconductor,region,transistors,first,active,second,strain,alloy,said
 US10158530B2,node,nodes,configuration,compute,state,fabric,one,message,server,connected
 US9679345B2,frame,gpu,delay,example,rendering,fig,time,pacing,processing,gpus
 US10013240B2,threads,code,redundant,processing,one,values,results,thread,value,event
 US7716501B2,performance,circuit,integrated,increase,processor,system,step,operation,module,threshold
 US9934551B2,memory,samples,stored,pixel,gpu,system,image,sample,rendering,set
 US10283437B2,pattern,mask,first,second,power,rail,layer,includes,fig,embodiments
 US8030148B2,layer,region,material,active,strain,semiconductor,said,process,isolation,corresponding
 US9025899B2,region,compression,image,acceptability,criteria,step,predetermined,method,selected,quantization
 US9848192B2,region,image,step,compression,selected,quantization,regions,method,transformation,one
 US10659784B2,region,compression,image,step,selected,acceptability,criteria,quantization,predetermined,transform
 US11503295B2,region,image,compression,step,transform,quantization,acceptability,criteria,selected,second
 US20230070744A1,region,image,step,compression,method,selected,quantization,transform,acceptability,criteria
 US9792448B2,memory,access,information,vm,address,request,cache,module,system,processor
 US10152602B2,vm,information,processor,state,exit,registers,hypervisor,memory,data,structure
 US8716124B2,insulating,layer,gate,trench,material,process,fig,formed,trenches,first
 US9006834B2,insulating,layer,gate,trench,material,fig,formed,mandrel,process,trenches
 US10152772B2,image,sampling,one,pixel,embodiment,lines,pattern,first,grid,locations
 US10354365B2,image,sampling,first,one,pattern,embodiment,second,pixel,processor,lines
 US10956044B2,memory,timing,data,parameters,logic,one,region,controller,access,profiling
 US11474703B2,memory,timing,data,logic,parameters,one,controller,access,region,profiling
 US20230142598A1,memory,timing,logic,parameters,data,controller,one,profiling,system,die
 US8726139B2,data,bits,indicator,signal,dq,plurality,state,bus,byte,high
